Labels,URLs,Domain,URL_Length,Domain_L ength,URL_depth,URL_atSymbol,URL_IP,URL_HTTPS,URL_DomainHTTP,URL_RedirectPosition,URL_HyphenInDomain,URL_DotsNo,URL_NonASCHII,URL_Digits,HTMLJS_Features
1,http://dbs.vote-friend.com/sg?ref=anything,dbs.vote-friend.com,0,1,0,0,0,1,0,1,1,-1,0,0,0
0,https://www.reynoldstransfer.com/versa-lift-fork-truck/,reynoldstransfer.com,-1,1,-1,0,0,0,0,0,0,0,0,0,1
1,https://www.halisupportservice.com/Login.php,halisupportservice.com,0,1,0,0,0,0,0,0,0,0,0,0,0
0,https://www.signets.com.br/wp-includes/wlwmanifest.xml,signets.com.br,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0
1,https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true,docs.google.com,1,-1,1,0,0,0,0,0,0,-1,0,1,0
0,https://www.iwestco.com/virtual-consult/,iwestco.com,0,0,-1,0,0,0,0,0,0,0,0,0,1
1,https://is.gd/N19JOz,is.gd,0,1,0,0,0,0,0,0,0,0,0,0,0
1,https://httpsservices.runescape.com-ov.ru/,httpsservices.runescape.com-ov.ru,0,1,0,0,0,0,1,0,1,1,0,0,0
1,https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands,viandjo.com,1,0,1,0,0,0,0,0,0,0,0,1,0
0,https://www.millect.com/Plans/tabid/76/Default.aspx,millect.com,-1,0,1,0,0,0,0,0,0,0,0,0,0
0,https://www.sttas.com/,sttas.com,0,0,0,0,0,0,0,0,0,0,0,0,0
1,https://facebookcase1477777.web.app/appeal.html,facebookcase1477777.web.app,0,1,0,0,0,0,0,0,0,-1,0,1,0
0,https://www.cytranet.com/category/blog/index.html,cytranet.com,-1,0,1,0,0,0,0,0,0,0,0,0,0
1,https://oximedica.com/wp-includes/imgs/att.php,oximedica.com,0,-1,1,0,0,0,0,0,0,0,0,0,0
1,http://myetherwallets.kr/wallet,myetherwallets.kr,0,-1,0,0,0,1,0,1,0,0,0,0,0
0,https://pervouralsk.interra.ru/,pervouralsk.interra.ru,0,1,0,0,0,0,0,0,0,-1,0,0,1
1,https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/,06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com,1,1,0,0,0,0,0,0,1,1,0,1,0
0,https://www.bright-group.ru/team/,bright-group.ru,0,-1,-1,0,0,0,0,0,1,0,0,0,1
1,http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html,secure285.inmotionhosting.com,1,1,1,0,0,1,0,1,0,-1,0,1,0
0,https://www.copyright.com/,copyright.com,0,-1,0,0,0,0,0,0,0,0,0,0,1
0,https://www.inner-calm.co.uk/,inner-calm.co.uk,0,-1,0,0,0,0,0,0,1,-1,0,0,1
1,https://linktr.ee/Midasbuyvip,linktr.ee,0,0,0,0,0,0,0,0,0,0,0,0,1
1,http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php,abbeyroadmoron.com,-1,-1,1,0,0,1,0,1,0,0,0,-1,0
0,https://www.organicgourmetbcn.com/,organicgourmetbcn.com,0,1,0,0,0,0,0,0,0,0,0,0,1
0,https://www.three-f.co.jp/contact/,three-f.co.jp,0,-1,-1,0,0,0,0,0,1,-1,0,0,1
0,https://www.keramidaslaw.com/auto-insurance-defense-lawyer/,keramidaslaw.com,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
1,https://olx.bolxgift.online,,0,-1,0,0,0,0,0,0,0,-1,0,0,0
0,https://www.hitachi.com/New/cnews/index.html,hitachi.com,0,0,1,0,0,0,0,0,0,0,0,0,1
0,https://www.epcollab.org/,epcollab.org,0,0,0,0,0,0,0,0,0,0,0,0,0
0,https://www.spokanecounty.org/9/How-Do-I,spokanecounty.org,0,-1,-1,0,0,0,0,0,0,0,0,0,0
1,http://jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com/,jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com,1,1,0,0,0,1,0,1,1,1,0,1,0
1,https://www.trilife.space/com/images/secure/online/fulls.php,trilife.space,-1,-1,1,0,0,0,0,0,0,0,0,0,0
1,https://ezreadtampcraez.com/jp/aol.html?email=jdoe1@emailhost.c,ezreadtampcraez.com,1,1,-1,1,0,0,0,0,0,0,0,0,0
1,https://bit.ly/2R7AugZ,bit.ly,0,1,0,0,0,0,0,0,0,0,0,0,0
0,https://www.vgsi.com/taxpayer-info/,vgsi.com,0,0,-1,0,0,0,0,0,0,0,0,0,0
0,https://www.devastudios.com/work,devastudios.com,0,-1,0,0,0,0,0,0,0,0,0,0,1
0,https://www.factoryautomation.com/cpanel,factoryautomation.com,0,1,0,0,0,0,0,0,0,0,0,0,1
1,https://olx.pl-savedpay.xyz/delivery/351502756,olx.pl-savedpay.xyz,0,1,-1,0,0,0,0,0,1,-1,0,1,0
1,http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/surf2.php,grandmarketltd.co.uk,1,1,1,0,0,1,0,1,0,-1,0,1,0
0,https://www.audiblemagic.com/article-17/,audiblemagic.com,0,-1,-1,0,0,0,0,0,0,0,0,0,0
1,https://uniswap.walletsconnectors.com/swap.html#/swap,uniswap.walletsconnectors.com,-1,1,-1,0,0,0,0,0,0,-1,0,0,0
1,https://odumzat.cn/pc/MUFG_pcselectcard.html,odumzat.cn,0,0,-1,0,0,0,0,0,0,0,0,0,0
1,http://cambodiatraining.com/redirect/,cambodiatraining.com,0,1,-1,0,0,1,0,1,0,0,0,0,0
1,https://www.recipient-authorisation-secure.com/Login.php,recipient-authorisation-secure.com,-1,1,0,0,0,0,0,0,1,0,0,0,0
0,https://www.parksjones.com/educational-videos/,parksjones.com,0,-1,-1,0,0,0,0,0,0,0,0,0,0
1,https://drive.google.com/file/d/1ik3UxH3RDigwAr7D269WVkoWp17Cci1n/edit,drive.google.com,1,-1,1,0,0,0,0,0,0,-1,0,1,0
1,http://kinstationery.com/4tr/login.php?ul=_LkeFUq_VJOXRTIPtoGYDw17dsfsfd18&fid.18InboxLight.aspxn.1774256418&fid.1r245964252813InboxLight94552_Product-email&email=nobody@mycraftmail.com,kinstationery.com,1,-1,-1,1,0,1,0,1,0,0,0,1,0
1,https://services.oldschool.com-12.ru/m=forum/forums.ws4877492211802836667223,services.oldschool.com-12.ru,1,1,-1,0,0,0,0,0,1,1,0,1,0
0,https://www.sjoukedijkstra.nl/infra/straatwerk,sjoukedijkstra.nl,0,-1,-1,0,0,0,0,0,0,0,0,0,0
0,https://www.therapie-weidenhof.at/de/aktuelles/,therapie-weidenhof.at,0,1,1,0,0,0,0,0,1,0,0,0,1
1,https://www.isamayy.com/oro/,isamayy.com,0,0,-1,0,0,0,0,0,0,0,0,0,0
0,https://www.southerncef.org/html/promotional_materials.html,southerncef.org,-1,-1,-1,0,0,0,0,0,0,0,0,0,1
1,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com,1,1,0,0,0,1,0,1,1,1,0,1,0
0,https://www.megamidia.com.br/live-content/,megamidia.com.br,0,-1,-1,0,0,0,0,0,0,-1,0,0,1
1,https://bit.ly/2TcKWEr,bit.ly,0,1,0,0,0,0,0,0,0,0,0,0,0
